Name of Resource,Address,Description
W. W. Hagerty Library,"3300 Market St, Philadelphia, PA 19104","Founded in 1983, W.W. Hagerty Library houses nearly half a million of books, periodicals, DVDs, videos and archival materials."
Math Resource Center,15 S. 33rd St. Room 207,The Math Resource Center is available to Drexel University students who need assistance in undergraduate math courses offered by the Department of Mathematics.
Drexel Recreation Center,Recreation Center 33rd and Market Streets,"Opened in February 2010, the state-of-the-art Drexel Recreation Center is the fitness hub in University City. The Recreation Center is committed to providing a lasting and meaningful impact on the health and well-being of its members. The center serves as a symbol of Drexel University's commitment to the health of the community—both in body and mind."
Barnes & Noble Drexel University,"3250 Chestnut St, Philadelphia, PA 19104","Shop Drexel University Bookstore for men's, women's and children's apparel, gifts, textbooks, and more."
Handschumacher Dining Center,"3201 Chestnut St, Philadelphia, PA 19104",One of the dining centers available for Drexel students.
Urban Eatery,"3400 Lancaster Ave, Philadelphia, PA 19104",One of the dining centers available for Drexel students.
Korman Center,15 S. 33rd St.,The Korman Center houses IT's professional staff as well as the Instructional Technology center.
Daskalakis Athletic Center,"3301 Market St, Philadelphia, PA 19104","The Daskalakis Athletic Center (DAC) is the home of Drexel Athletics. The facility includes a swimming pool located on the lower level, five squash courts, a golf center, and a gymnasium featuring courts for recreational, intramural, club volleyball, and basketball. The DAC primarily services varsity sports."
Academic Building,"3141 Chestnut St, Philadelphia, PA 19104",
Constantine N. Papadakis Integrated Sciences Building,"3245 Chestnut St, Philadelphia, PA 19104","The College of Arts and Sciences’ Gold LEED-certified Papadakis Integrated Sciences Building is home to North America’s largest living biowall - and the only wall of its kind in a U.S. university. The landmark facility is named in honor of Drexel’s 12th president, Constantine N. Papadakis, PhD. During his tenure, Papadakis recognized the need for greater space to serve the biomedical sciences, a field that quickly flourished after the University’s merger with the College of Medicine."
Curtis Hall,"3141 Chestnut St, Philadelphia, PA 19104","Funded by a Cyrus Hermann Kotzschmar Curtis (publisher of the Ladies' Home Journal and the Saturday Evening Post). The initial three-story concrete and steel structure was built to accommodate four more stories in the future. It provided laboratory and classroom spaces for mechanical, civil, chemical, and electrical engineering as well as a gymnasium on the top floor which included a rifle range and rooftop baseball cage and running track. Curtis also purchased the land adjacent to the site to ensure abundant natural light into the structure."
Randell Hall,"3141 Chestnut St, Philadelphia, PA 19104","Called East Hall until 1924 when renamed for Lillie Randell and Letitia Garrison, sisters, donated money to the Institute."
Disque Hall,"32 South 32nd Street, Philadelphia, PA",
Gerri C. LeBow Hall,"3220 Market St. Philadelphia, PA 19104",
Kline Law Building and Library,"3320 Market St, Philadelphia, PA 19104",
LeBow Engineering Center,"3141 Chestnut St, Philadelphia, PA 19104",
MacAlister Hall,"3250 Chestnut St, Philadelphia, PA 19104","This structure like the Creese Activities Center and Mandell Theatre has been enveloped by Robert Stern's Chestnut Square pairing that bring the activity to the edge of the sidewalk, but only on the Chestnut Street side. Built as the Educational Activities Center."
Main Building,"3141 Chestnut St, Philadelphia, PA 19104","Drexel University founded in 1891 once consisted of just one central building, this building being the Main Building. When walking into the building one may be sidetracked by the beauty of the artwork and tile of the Great Court, however this building offers a lot for current students and faculty."
Nesbitt Hall,"3215 Market Street Philadelphia, PA 19104",
Stratton Hall,"3201 Chestnut Street Philadelphia, PA 19104",
Lincoln Plaza,"3020 Market Street Philadelphia, PA 19104",
