Residence Name,Is Affiliated Housing,Address,Owner,On Campus
Bentley Hall,"3301 Arch Street Philadelphia, PA 19104",215.571.3080,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Caneris Hall,"115 N. 32nd Street Philadelphia, PA 19104",215.571.3179,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Millenium Hall,"223 N. 34th Street Philadelphia, PA 19104",215.571.3150,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
North Hall,"3200 Race Street Philadelphia, PA 19104",215.571.3087,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Race Street Residences,"3300 Race Street Philadelphia, PA 19104",215.571.3103,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Towers Hall,"101 N 34th Street Philadelphia, PA 19104",215.571.3028,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Van Rensselaer,"3320 Powelton Avenue Philadelphia, PA 19104",215.571.3068,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Stiles Hall,"325 N. 15th Street Philadelphia, PA 19102",215.571.4410,Drexel,False,True,https://drexel.edu/studentlife/campus-living/housing/options
Chestnut Square,"3200 Chestnut Street Philadelphia, PA 19104",(215) 243-3555,American Campus Communities,True,True,https://www.americancampus.com/student-apartments/pa/philadelphia/chestnut-square
The Summit at University City,"3400 Lancaster Avenue Philadelphia, PA 19104",(215) 222-3100,American Campus Communities,True,True,https://www.americancampus.com/student-apartments/pa/philadelphia/the-summit-at-university-city#amenities
University Crossings,"3175 John F Kennedy Boulevard Philadelphia, PA 19104",(215) 382-3432,American Campus Communities,True,True,https://www.americancampus.com/student-apartments/pa/philadelphia/university-crossings
